"@timestamp",renterQuote,provider,localization
"Jun 30, 2026 @ 20:11:03.000","Die Kontaktaufnahme war schwierig (Sprachbarriere), es hat ewig gedauert, bis der Vertreter am von ihm vorgeschlagenen Treffpunkt eintraf. Bei dem Wagen war bei Übernahme bereits die Reifendruckanzeige aktiv.
Ein Anruf einen Tag später, dass über Nacht wieder der Reifendruck in einem Reifen gesunken ist, wurde quittiert mit einer Anmerkung, ob er schon platt ist oder nicht. Da er nicht platt war, würde man sich bei uns zwecks Reparatur melden. Das passierte nicht, so fuhren wir jeden morgen zur Tankstelle, um den Druck aufzufüllen.
Die Rückgabe war ebenso eine unschöne Situation, weil angeblich der Mietwagen außerordentlich dreckig sei und man ihn reinigen müsse. Wenn wir aber auf die Erstattung der Parkgebühren verzichten, würde man die Reinigung übernehmen. Das ganze klang nach einer sehr standardisierten Masche.
Insgesamt würde ich definitiv von diesem Anbieter abraten, zumindest bei einer Anmietung in Izmir.","Sunny Cars",de
"Jun 28, 2026 @ 17:06:43.000","PoC review - please disregard",Alamo,de
"Jun 28, 2026 @ 11:55:31.000","BugBounty test review alan_olazabal placeholder.",Alamo,de
"Jun 27, 2026 @ 13:51:48.000","Security validation controlled booking supplier review. Please ignore this test entry.",Alamo,de
"Jun 26, 2026 @ 09:07:28.000","Sehr gut. 
Es hat alles schnell und problemlos funktioniert. ",AutoEurope,de
"Jun 26, 2026 @ 04:37:35.000","Sehr freundlicher Vermieter, schnelle Abwicklung.","Sunny Cars",de
"Jun 26, 2026 @ 04:25:42.000","Vermieter war sehr freundlich und schnell vor Ort.","Sunny Cars",de
"Jun 24, 2026 @ 08:35:07.000","Ich habe mich bereits zum zweiten Mal für das Unternehmen entschieden. Das erste Mal im letzten Jahr verlief sehr gut. Dieses Mal war es leider nicht so.
Bei der Abholung des Fahrzeugs am 04.05.2026 versuchte die Dame am Schalter, mir eine zusätzliche Versicherung zu verkaufen, was ich ablehnte. Danach erhielt ich einen alten Skoda Fabia. Das Auto war eine echte Klapperkiste. Ich habe die Mitarbeiterin darauf angesprochen, aber sie versicherte mir, dass das Auto dem Vertrag entsprach. Es hatte eine lange Liste von Kratzern an fast jeder Stelle, Schrammen und bereits rund 95.000 km auf dem Tacho. Die Ausstattung und der Komfort waren sehr dürftig. Es war das schlechteste Auto, das ich in den letzten Jahren bei einer Autovermietung in Europa erhalten habe.
Während des Urlaubs hat das gemietete Auto zwar seinen Zweck erfüllt, allerdings war der Benzinverbrauch höher als bei modernen Fahrzeugen, und ich habe die Ausstattung zeitgemäßer Autos vermisst.
Bei der Rückgabe am 18.05.2026 führte der Mitarbeiter eine extrem genaue Prüfung des Wagens durch und nutzte dafür sogar die Lupenfunktion eines iPads. Die Überraschung: Er fand einen zusätzlichen Kratzer von etwa 28 mm Länge, den ich bei der Abholung möglicherweise übersehen hatte. Da das Auto ohnehin viele Kratzer hatte, konnte ich nicht beweisen, ob er bereits bei der Übernahme vorhanden war oder erst später entstand (obwohl ich Fotos gemacht habe, diese Stelle war aber schlecht zu sehen). Prompt wurde eine Schadensforderung über weitere 290,- plus 75,- Gebühr = 365,– Euro erhoben, die ich bezahlen musste. Im Schalterbereich hing eine lange Liste von Schäden mit den entsprechenden Gebühren plus einer Bearbeitungsgebühr aus. Es schien mir, als sei ich nicht der einzige Kunde, der so behandelt wurde.
Ich bin mir sicher, dass diese Klapperkiste dem nächsten ahnungslosen Kunden ohne jede Ausbesserung übergeben wird. Wäre es ein neues und aktuelles Modell gewesen, hätte ich die Forderung für den kleinen Kratzer eventuell verstanden. Bei einer solchen Klapperkiste war es jedoch lächerlich.
Ich habe der Dame am Schalter gesagt, dass dieses Verfahren ein cleveres Geschäftsmodell sei.
Weiterhin muß ich anmerken, daß im Büro eine Tafel mit 8 Bildern von bestimmten Strecken hing, die nicht benutzt werden durften. Im Auto sind GPS Tracker eingebaut, die auf diese Strecken geprüft werden. Wenn diese trotzdem befahren werden, werden pro gefahrener Strecke (ich glaube mich zu erinnern) ca. 70 Euro Strafgebühr fällig.
Ebenfalls wird eine Gebühr fällig, wenn der Wagen sehr unsauber zurückgegeben wird.
Ich werde in Zukunft kein Auto mehr bei diesem Unternehmen mieten.",BSPAuto,de
"Jun 23, 2026 @ 19:24:30.000","Würde sofort wieder über Dollar (gehört ja zu Hertz) buchen. Hat alles super reibungslos und schnell ohne große Diskussionen über zus. Versicherungen geklappt . Toll fand ich die Übernahme (die nette Dame hat sogar ohne dass wir gefragt hatten die Navi-Sprache auf unsere Sprache umgestellt ), sowohl auch die Rückgabe in Faro über einen Schlüsselsafe um 3 Uhr morgens . 
Eine absolute Empfehlung!!!",BSPAuto,de
"Jun 22, 2026 @ 19:20:14.000","Katastrophale Abwicklung. Insgesamt standen wir über eine Stunde an. Es wird versucht mit Druck Zusatzprodukte zu verkaufen - Versicherungen, anderer Wagen etc. 
Der Gipfel war die Rückgabe. Wir haben den Wagen spät am Abend abgeholt. Eine Sichtung von Außen war aufgrund von Dunkelheit und im Parkhaus nicht möglich. Bei Rückgabe hat man uns zwei Schäden angelastet, die definitiv bereits vorhanden waren. Der Wagen stand übrigens 90% der Zeit in einer abgeschlossenen Garage. 
Wirklich unmöglich und ich kann nur abraten bei Europcar einen Wagen zu buchen. ",BSPAuto,de
